--- Recording Logitech F310 Activity from /dev/input/js0 ---
--- Press Ctrl+C to exit ---

 EVENT  | Type: Axis   | ID: 4  | Value: -13989
 EVENT  | Type: Axis   | ID: 4  | Value: -11399
 EVENT  | Type: Axis   | ID: 4  | Value: -8808
 EVENT  | Type: Axis   | ID: 4  | Value: -6218
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 4  | Value: -4146
 EVENT  | Type: Axis   | ID: 4  | Value: -779
 EVENT  | Type: Axis   | ID: 4  | Value: 2849
 EVENT  | Type: Axis   | ID: 4  | Value: 7511
 EVENT  | Type: Axis   | ID: 4  | Value: 11915
 EVENT  | Type: Axis   | ID: 3  | Value: -30048
 EVENT  | Type: Axis   | ID: 4  | Value: 16059
 EVENT  | Type: Axis   | ID: 3  | Value: -25904
 EVENT  | Type: Axis   | ID: 4  | Value: 20203
 EVENT  | Type: Axis   | ID: 3  | Value: -21759
 EVENT  | Type: Axis   | ID: 4  | Value: 24348
 EVENT  | Type: Axis   | ID: 3  | Value: -17097
 EVENT  | Type: Axis   | ID: 4  | Value: 28492
 EVENT  | Type: Axis   | ID: 3  | Value: -8808
 EVENT  | Type: Axis   | ID: 4  | Value: 31082
 EVENT  | Type: Axis   | ID: 3  | Value: -520
 EVENT  | Type: Axis   | ID: 4  | Value: 32636
 EVENT  | Type: Axis   | ID: 3  | Value: 7511
 EVENT  | Type: Axis   | ID: 7  | Value: 0
 EVENT  | Type: Axis   | ID: 3  | Value: 14764
 EVENT  | Type: Axis   | ID: 4  | Value: 29269
 EVENT  | Type: Axis   | ID: 6  | Value: -32767
 EVENT  | Type: Axis   | ID: 3  | Value: 20980
 EVENT  | Type: Axis   | ID: 4  | Value: 26420
 EVENT  | Type: Axis   | ID: 3  | Value: 25125
 EVENT  | Type: Axis   | ID: 4  | Value: 22276
 EVENT  | Type: Axis   | ID: 3  | Value: 29269
 EVENT  | Type: Axis   | ID: 4  | Value: 18131
 EVENT  | Type: Axis   | ID: 3  | Value: 32767
 EVENT  | Type: Axis   | ID: 4  | Value: 13987
 EVENT  | Type: Axis   | ID: 4  | Value: 9842
 EVENT  | Type: Axis   | ID: 4  | Value: 5957
 EVENT  | Type: Axis   | ID: 4  | Value: 3367
 EVENT  | Type: Axis   | ID: 4  | Value: 1295
 EVENT  | Type: Axis   | ID: 4  | Value: -2
 EVENT  | Type: Axis   | ID: 4  | Value: -261
 EVENT  | Type: Axis   | ID: 4  | Value: -1297
 EVENT  | Type: Axis   | ID: 4  | Value: -2851
 EVENT  | Type: Axis   | ID: 4  | Value: -4664
 EVENT  | Type: Axis   | ID: 4  | Value: -5441
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 3  | Value: 26938
 EVENT  | Type: Axis   | ID: 3  | Value: 22794
 EVENT  | Type: Axis   | ID: 3  | Value: 18649
 EVENT  | Type: Axis   | ID: 3  | Value: 14505
 EVENT  | Type: Axis   | ID: 3  | Value: 10360
 EVENT  | Type: Axis   | ID: 7  | Value: 32767
 EVENT  | Type: Axis   | ID: 3  | Value: 6216
 EVENT  | Type: Axis   | ID: 4  | Value: -2592
 EVENT  | Type: Axis   | ID: 6  | Value: 32767
 EVENT  | Type: Axis   | ID: 3  | Value: 2072
 EVENT  | Type: Axis   | ID: 4  | Value: -520
 EVENT  | Type: Axis   | ID: 3  | Value: 0
 EVENT  | Type: Axis   | ID: 4  | Value: -2
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 7  | Value: 0
 EVENT  | Type: Axis   | ID: 5  | Value: -30704
 EVENT  | Type: Axis   | ID: 5  | Value: -25028
 EVENT  | Type: Axis   | ID: 5  | Value: -17030
 EVENT  | Type: Axis   | ID: 5  | Value: -8773
 EVENT  | Type: Axis   | ID: 5  | Value: -775
 EVENT  | Type: Axis   | ID: 5  | Value: 7482
 EVENT  | Type: Axis   | ID: 5  | Value: 15738
 EVENT  | Type: Axis   | ID: 5  | Value: 23995
 EVENT  | Type: Axis   | ID: 5  | Value: 29929
 EVENT  | Type: Axis   | ID: 5  | Value: 32767
 EVENT  | Type: Axis   | ID: 5  | Value: 30961
 EVENT  | Type: Axis   | ID: 5  | Value: 27091
 EVENT  | Type: Axis   | ID: 5  | Value: 20641
 EVENT  | Type: Axis   | ID: 5  | Value: 12384
 EVENT  | Type: Axis   | ID: 5  | Value: 4128
 EVENT  | Type: Axis   | ID: 5  | Value: -3871
 EVENT  | Type: Axis   | ID: 5  | Value: -12127
 EVENT  | Type: Axis   | ID: 5  | Value: -20384
 EVENT  | Type: Axis   | ID: 5  | Value: -26834
 EVENT  | Type: Axis   | ID: 5  | Value: -30962
 EVENT  | Type: Axis   | ID: 5  | Value: -25028
 EVENT  | Type: Axis   | ID: 5  | Value: -16772
 EVENT  | Type: Axis   | ID: 5  | Value: -8515
 EVENT  | Type: Axis   | ID: 5  | Value: -259
 EVENT  | Type: Axis   | ID: 5  | Value: 7998
 EVENT  | Type: Axis   | ID: 5  | Value: 16254
 EVENT  | Type: Axis   | ID: 5  | Value: 24253
 EVENT  | Type: Axis   | ID: 5  | Value: 30703
 EVENT  | Type: Axis   | ID: 5  | Value: 32767
 EVENT  | Type: Axis   | ID: 5  | Value: 29929
 EVENT  | Type: Axis   | ID: 5  | Value: 24253
 EVENT  | Type: Axis   | ID: 5  | Value: 15996
 EVENT  | Type: Axis   | ID: 5  | Value: 7740
 EVENT  | Type: Axis   | ID: 5  | Value: -517
 EVENT  | Type: Axis   | ID: 5  | Value: -8773
 EVENT  | Type: Axis   | ID: 5  | Value: -16772
 EVENT  | Type: Axis   | ID: 2  | Value: -29414
 EVENT  | Type: Axis   | ID: 5  | Value: -24770
 EVENT  | Type: Axis   | ID: 2  | Value: -21416
 EVENT  | Type: Axis   | ID: 5  | Value: -30446
 EVENT  | Type: Axis   | ID: 2  | Value: -13159
 EVENT  | Type: Axis   | ID: 5  | Value: -32767
 EVENT  | Type: Axis   | ID: 2  | Value: -4903
 EVENT  | Type: Axis   | ID: 2  | Value: 3354
 EVENT  | Type: Axis   | ID: 2  | Value: 11610
 EVENT  | Type: Axis   | ID: 2  | Value: 19867
 EVENT  | Type: Axis   | ID: 2  | Value: 27865
 EVENT  | Type: Axis   | ID: 2  | Value: 32767
 EVENT  | Type: Axis   | ID: 2  | Value: 30703
 EVENT  | Type: Axis   | ID: 2  | Value: 25027
 EVENT  | Type: Axis   | ID: 2  | Value: 16771
 EVENT  | Type: Axis   | ID: 2  | Value: 8514
 EVENT  | Type: Axis   | ID: 2  | Value: 258
 EVENT  | Type: Axis   | ID: 2  | Value: -7999
 EVENT  | Type: Axis   | ID: 2  | Value: -16255
 EVENT  | Type: Axis   | ID: 2  | Value: -24512
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: PRESSED
 EVENT  | Type: Axis   | ID: 2  | Value: -30446
 EVENT  | Type: Axis   | ID: 2  | Value: -32767
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: RELEASED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: PRESSED
 EVENT  | Type: Button | ID: 5  | Name: RB    | Action: RELEASED
 EVENT  | Type: Axis   | ID: 7  | Value: -32767
 EVENT  | Type: Axis   | ID: 6  | Value: -32767
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 6  | Value: 32767
 EVENT  | Type: Axis   | ID: 7  | Value: 0
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 7  | Value: -32767
 EVENT  | Type: Axis   | ID: 4  | Value: -2333
 EVENT  | Type: Axis   | ID: 4  | Value: -5182
 EVENT  | Type: Axis   | ID: 4  | Value: -9326
 EVENT  | Type: Axis   | ID: 4  | Value: -13471
 EVENT  | Type: Axis   | ID: 4  | Value: -17615
 EVENT  | Type: Axis   | ID: 4  | Value: -21759
 EVENT  | Type: Axis   | ID: 4  | Value: -25645
 EVENT  | Type: Axis   | ID: 4  | Value: -29012
 EVENT  | Type: Axis   | ID: 4  | Value: -31602
 EVENT  | Type: Axis   | ID: 4  | Value: -32767
 EVENT  | Type: Axis   | ID: 7  | Value: 0
 EVENT  | Type: Axis   | ID: 4  | Value: -29530
 EVENT  | Type: Axis   | ID: 4  | Value: -24350
 EVENT  | Type: Axis   | ID: 4  | Value: -20464
 EVENT  | Type: Axis   | ID: 4  | Value: -16320
 EVENT  | Type: Axis   | ID: 4  | Value: -12176
 EVENT  | Type: Axis   | ID: 4  | Value: -8031
 EVENT  | Type: Axis   | ID: 4  | Value: -3887
 EVENT  | Type: Axis   | ID: 4  | Value: -261
 EVENT  | Type: Axis   | ID: 4  | Value: 1036
